year,residence,per_thousand
2005,Both,37
2006,Both,37
2007,Both,37
2008,Both,28
2009,Both,28
2010,Both,27
2011,Both,27
2012,Both,27
2013,Both,27
2014,Both,27
2015,Both,20
2016,Both,20
2017,Both,20
2018,Both,20
2019,Both,20
2020,Both,19
2021,Both,19
2005,Urban,
2006,Urban,
2007,Urban,
2008,Urban,
2009,Urban,
2010,Urban,
2011,Urban,
2012,Urban,
2013,Urban,
2014,Urban,
2015,Urban,
2016,Urban,
2017,Urban,
2018,Urban,
2019,Urban,
2020,Urban,15
2021,Urban,15
2005,Rural,
2006,Rural,
2007,Rural,
2008,Rural,
2009,Rural,
2010,Rural,
2011,Rural,
2012,Rural,
2013,Rural,
2014,Rural,
2015,Rural,
2016,Rural,
2017,Rural,
2018,Rural,
2019,Rural,
2020,Rural,20
2021,Rural,20
