year,Sex,per_thousand
2000,Both,196
2001,Both,196
2002,Both,196
2003,Both,196
2004,Both,196
2005,Both,152
2006,Both,152
2007,Both,152
2008,Both,103
2009,Both,103
2010,Both,76
2011,Both,76
2012,Both,76
2013,Both,76
2014,Both,76
2015,Both,50
2016,Both,50
2017,Both,50
2018,Both,50
2019,Both,50
2020,Both,45
2021,Both,45
2000,Male,
2001,Male,
2002,Male,
2003,Male,
2004,Male,
2005,Male,
2006,Male,
2007,Male,
2008,Male,
2009,Male,
2010,Male,
2011,Male,
2012,Male,
2013,Male,
2014,Male,
2015,Male,
2016,Male,
2017,Male,
2018,Male,
2019,Male,
2020,Male,47
2021,Male,47
2000,Female,
2001,Female,
2002,Female,
2003,Female,
2004,Female,
2005,Female,
2006,Female,
2007,Female,
2008,Female,
2009,Female,
2010,Female,
2011,Female,
2012,Female,
2013,Female,
2014,Female,
2015,Female,
2016,Female,
2017,Female,
2018,Female,
2019,Female,
2020,Female,43
2021,Female,43
